DXEX v1
\\austin.utexas.edu\disk\engrstu\ase\zst75\Desktop\Spherelab.lda
Fri Oct 15 08:25:25 2010
0.00 mm;-5.20 mm;0.00 mm
"X [mm]"	"Y [mm]"	"Z [mm]"	"Date_Time"	"Count{1}"	"Count{2}"	"Data Rate{1} [#/s]"	"Data Rate{2} [#/s]"	"Validation{1} [%]"	"Validation{2} [%]"	"LDA1-Mean [m/s]"	"LDA2{2}-Mean [m/s]"	"LDA1-RMS [m/s]"	"LDA2{2}-RMS [m/s]"	"LDA1-MeanConf [m/s]"	"LDA2{2}-MeanConf [m/s]"	"LDA1-RMSConf [m/s]"	"LDA2{2}-RMSConf [m/s]"	"LDA1-AnodeCur [uA]"	"LDA2{2}-AnodeCur [uA]"	
0.00	-5.20	0.00	8:25:25 AM	50	500	25.92	40.72	100.00	100.00	0.10829	0.61472	0.02	0.03	0.00	0.00	0.00	0.00	#N/A	64
0.00	-5.00	0.00	8:25:40 AM	50	500	28.75	37.27	100.00	100.00	0.11802	0.61662	0.01	0.02	0.00	0.00	0.00	0.00	#N/A	80
0.00	-4.80	0.00	8:25:56 AM	50	500	28.85	38.83	100.00	100.00	0.11769	0.61646	0.01	0.03	0.00	0.00	0.00	0.00	#N/A	13
0.00	-4.60	0.00	8:26:12 AM	50	500	23.85	37.63	100.00	100.00	0.12095	0.61316	0.01	0.03	0.00	0.00	0.00	0.00	#N/A	#N/A
0.00	-4.40	0.00	8:26:28 AM	50	500	27.57	39.32	100.00	100.00	0.11450	0.62210	0.02	0.03	0.01	0.00	0.00	0.00	#N/A	#N/A
0.00	-4.20	0.00	8:26:44 AM	50	500	21.17	34.88	100.00	100.00	0.13894	0.60947	0.02	0.03	0.00	0.00	0.00	0.00	#N/A	61
0.00	-4.00	0.00	8:27:01 AM	50	500	16.94	33.54	100.00	99.82	0.12470	0.61300	0.01	0.03	0.00	0.00	0.00	0.00	#N/A	#N/A
0.00	-3.80	0.00	8:27:19 AM	50	500	23.33	31.29	100.00	99.81	0.11689	0.58755	0.02	0.08	0.00	0.01	0.00	0.00	#N/A	#N/A
0.00	-3.60	0.00	8:27:38 AM	50	500	26.35	37.58	100.00	99.78	0.10807	0.60081	0.01	0.04	0.00	0.00	0.00	0.00	78	4
0.00	-3.40	0.00	8:27:55 AM	50	500	21.45	34.03	100.00	100.00	0.11644	0.61224	0.01	0.03	0.00	0.00	0.00	0.00	#N/A	13
0.00	-3.20	0.00	8:28:12 AM	50	500	19.52	31.35	100.00	100.00	0.11699	0.60759	0.01	0.03	0.00	0.00	0.00	0.00	#N/A	#N/A
0.00	-3.00	0.00	8:28:32 AM	50	500	24.18	38.32	100.00	99.81	0.11967	0.57022	0.01	0.07	0.00	0.01	0.00	0.00	#N/A	7
0.00	-2.80	0.00	8:28:48 AM	50	500	23.83	31.78	100.00	100.00	0.11806	0.55178	0.01	0.07	0.00	0.01	0.00	0.00	#N/A	#N/A
0.00	-2.60	0.00	8:29:07 AM	50	500	23.84	38.43	100.00	100.00	0.11421	0.56767	0.01	0.05	0.00	0.00	0.00	0.00	#N/A	#N/A
0.00	-2.40	0.00	8:29:23 AM	50	500	14.03	29.95	100.00	99.80	0.09906	0.47442	0.03	0.10	0.01	0.01	0.01	0.01	#N/A	#N/A
0.00	-2.20	0.00	8:29:43 AM	50	500	24.26	33.93	100.00	99.76	0.10078	0.55373	0.01	0.06	0.00	0.01	0.00	0.00	#N/A	#N/A
0.00	-2.00	0.00	8:30:00 AM	50	500	16.00	28.38	100.00	100.00	0.08776	0.43045	0.01	0.10	0.00	0.01	0.00	0.01	#N/A	#N/A
0.00	-1.80	0.00	8:30:22 AM	50	500	16.39	28.26	100.00	99.72	0.08381	0.46809	0.02	0.11	0.00	0.01	0.00	0.01	#N/A	#N/A
0.00	-1.60	0.00	8:30:42 AM	50	500	15.20	25.83	100.00	99.81	0.07894	0.40613	0.02	0.10	0.01	0.01	0.00	0.01	#N/A	#N/A
0.00	-1.40	0.00	8:31:05 AM	50	500	20.27	27.95	100.00	100.00	0.07951	0.38615	0.01	0.13	0.00	0.01	0.00	0.01	#N/A	#N/A
0.00	-1.20	0.00	8:31:25 AM	50	500	12.80	24.19	100.00	99.78	0.07722	0.35420	0.02	0.10	0.00	0.01	0.00	0.01	#N/A	#N/A
0.00	-1.00	0.00	8:31:49 AM	50	500	8.70	15.53	98.75	99.82	0.05764	0.28216	0.03	0.13	0.01	0.01	0.01	0.01	#N/A	#N/A
0.00	-0.80	0.00	8:32:24 AM	50	500	17.85	17.34	100.00	99.85	0.05888	0.25341	0.01	0.11	0.00	0.01	0.00	0.01	#N/A	#N/A
0.00	-0.60	0.00	8:32:56 AM	50	500	6.67	10.00	100.00	99.88	0.03946	0.15224	0.02	0.10	0.00	0.01	0.00	0.01	#N/A	#N/A
0.00	-0.40	0.00	8:33:49 AM	50	500	6.55	13.80	100.00	99.32	0.03387	0.17537	0.02	0.10	0.00	0.01	0.00	0.01	#N/A	#N/A
